Time,Steel Center,Steel Surface,Copper Surface,Copper Center,P 5,P 6,P 7,P 8,P 9,P 10
461.889,29.9627,29.851587,29.734789,29.703773,,,,,,
462.24,29.974899,29.8613,29.734316,29.710999,,,,,,
462.603,29.969805,29.867519,29.738049,29.714279,,,,,,
462.964,29.959408,29.860516,29.736702,29.70682,,,,,,
463.339,29.958632,29.853855,29.728682,29.692457,,,,,,
463.695,29.959303,29.849321,29.736372,29.701056,,,,,,
464.054,29.957451,29.864668,29.735649,29.711199,,,,,,
464.404,29.957468,29.851107,29.734308,29.701935,,,,,,
464.766,29.967876,29.861517,29.746305,29.698992,,,,,,
465.128,29.951315,29.863512,29.727247,29.69261,,,,,,
465.502,29.964384,29.859835,29.728098,29.683044,,,,,,
465.859,29.957314,29.857969,29.720345,29.673254,,,,,,
0,29.955185,29.846334,29.798803,29.754436,,,,,,
0.348,29.94787,29.842186,30.100359,30.036112,,,,,,
0.698,29.94828,29.835352,30.574217,30.485622,,,,,,
1.054,29.944328,29.828911,31.157261,31.036263,,,,,,
1.416,29.934067,29.815929,31.783363,31.642677,,,,,,
1.777,29.916183,29.793741,32.416611,32.292999,,,,,,
2.139,29.895676,29.779341,33.084873,32.942314,,,,,,
2.488,29.888378,29.789019,33.738388,33.59153,,,,,,
2.85,29.889526,29.80307,34.403881,34.249371,,,,,,
3.202,29.889301,29.819139,35.032181,34.852108,,,,,,
3.559,29.874302,29.850313,35.658493,35.49118,,,,,,
3.934,29.874817,29.912382,36.322552,36.156582,,,,,,
4.283,29.88191,29.984646,36.894276,36.729836,,,,,,
4.644,29.881947,30.060926,37.467304,37.307514,,,,,,
5.006,29.899084,30.184595,38.043579,37.869724,,,,,,
5.367,29.920607,30.317137,38.616604,38.429382,,,,,,
5.726,29.9597,30.46855,39.146473,38.956787,,,,,,
6.085,29.993467,30.63155,39.664131,39.454891,,,,,,
6.434,30.03421,30.809364,40.108746,39.912109,,,,,,
6.785,30.108736,31.005033,40.573414,40.374081,,,,,,
7.141,30.190027,31.224764,41.030563,40.840042,,,,,,
7.501,30.26792,31.449816,41.491947,41.303593,,,,,,
7.862,30.372026,31.696407,41.919117,41.749039,,,,,,
8.22,30.481339,31.94561,42.355225,42.18132,,,,,,
8.569,30.612358,32.219269,42.782612,42.609734,,,,,,
8.928,30.753611,32.494453,43.185505,43.018936,,,,,,
9.281,30.914469,32.776909,43.58852,43.422745,,,,,,
9.636,31.065861,33.062412,43.958286,43.789772,,,,,,
9.981,31.266462,33.369381,44.356853,44.197266,,,,,,
10.332,31.434143,33.650658,44.706226,44.542793,,,,,,
10.687,31.642485,33.968254,45.082043,44.924,,,,,,
11.047,31.85923,34.27301,45.442596,45.28598,,,,,,
11.406,32.079342,34.594025,45.795307,45.640991,,,,,,
11.764,32.321888,34.918655,46.127861,45.987232,,,,,,
12.11,32.547615,35.233624,46.452927,46.309322,,,,,,
12.473,32.804966,35.557121,46.767956,46.626846,,,,,,
