Time,Steel Center,Steel Surface,Copper Surface,Copper Center,P 5,P 6,P 7,P 8,P 9,P 10
378.754,59.435223,59.235542,59.143261,59.118904,,,,,,
379.106,59.436859,59.245728,59.14661,59.125458,,,,,,
379.467,59.446342,59.256279,59.162933,59.138577,,,,,,
379.828,59.437656,59.240116,59.143562,59.121983,,,,,,
380.175,59.436054,59.241501,59.145161,59.124008,,,,,,
380.519,59.456993,59.248566,59.16227,59.136631,,,,,,
380.88,59.446949,59.248981,59.159908,59.134056,,,,,,
381.23,59.442924,59.260338,59.157379,59.137936,,,,,,
381.588,59.444889,59.256107,59.159126,59.142891,,,,,,
381.95,59.440578,59.255424,59.146912,59.124264,,,,,,
382.3,59.44429,59.245255,59.153187,59.128193,,,,,,
382.661,59.438171,59.242126,59.156681,59.130829,,,,,,
383.02,59.434116,59.244049,59.144073,59.115234,,,,,,
383.402,59.437496,59.247646,59.14682,59.125668,,,,,,
383.751,59.438015,59.241116,59.149902,59.121059,,,,,,
384.108,59.445511,59.26442,59.163383,59.130486,,,,,,
384.458,59.441536,59.258308,59.15855,59.128216,,,,,,
384.818,59.442028,59.24107,59.154984,59.124004,,,,,,
385.178,59.44067,59.257442,59.138245,59.111965,,,,,,
385.538,59.450752,59.248943,59.124405,59.089367,,,,,,
385.896,59.439674,59.249821,59.085331,59.06781,,,,,,
0,59.447781,59.254303,59.029556,58.995365,,,,,,
0.357,59.470078,59.281734,58.748371,58.726776,,,,,,
0.719,59.451923,59.276604,58.186863,58.207405,,,,,,
1.074,59.480331,59.29071,57.563503,57.631207,,,,,,
1.433,59.473312,59.295006,56.872276,56.954868,,,,,,
1.782,59.484219,59.312962,56.188953,56.281532,,,,,,
2.142,59.494293,59.315994,55.480679,55.58091,,,,,,
2.503,59.512192,59.310619,54.761253,54.861622,,,,,,
2.864,59.525002,59.316174,54.088551,54.176754,,,,,,
3.225,59.518444,59.300003,53.426926,53.531868,,,,,,
3.577,59.535645,59.278553,52.822037,52.938339,,,,,,
3.935,59.516605,59.224689,52.229053,52.343758,,,,,,
4.284,59.511181,59.167995,51.683456,51.793297,,,,,,
4.636,59.519039,59.103436,51.178539,51.272442,,,,,,
4.998,59.503513,59.02935,50.67041,50.752468,,,,,,
5.358,59.490036,58.911785,50.172348,50.250351,,,,,,
5.717,59.45446,58.781261,49.671955,49.74612,,,,,,
6.064,59.419392,58.647579,49.187057,49.255196,,,,,,
6.414,59.385139,58.500782,48.71365,48.793621,,,,,,
6.776,59.333652,58.320415,48.219589,48.316429,,,,,,
7.127,59.261959,58.138802,47.783005,47.863338,,,,,,
7.483,59.194229,57.93969,47.338093,47.427452,,,,,,
7.833,59.105034,57.737202,46.937969,47.012966,,,,,,
8.195,59.00264,57.508556,46.527966,46.606091,,,,,,
8.557,58.887398,57.258156,46.120914,46.169098,,,,,,
8.92,58.770786,57.010796,45.725536,45.804218,,,,,,
9.281,58.622452,56.759834,45.359844,45.437927,,,,,,
9.634,58.48032,56.49398,45.020496,45.079975,,,,,,
9.993,58.323872,56.221821,44.674168,44.725342,,,,,,
10.342,58.150745,55.945503,44.346794,44.387451,,,,,,
10.693,57.976074,55.669479,44.014153,44.068913,,,,,,
11.054,57.777611,55.375923,43.687717,43.738773,,,,,,
11.414,57.58176,55.078663,43.388279,43.44883,,,,,,
11.763,57.36256,54.783257,43.074207,43.140305,,,,,,
12.127,57.148388,54.481194,42.784164,42.835972,,,,,,
12.49,56.925926,54.185589,42.500957,42.560513,,,,,,
12.852,56.692505,53.865948,42.219883,42.266891,,,,,,
13.203,56.442608,53.579735,41.937927,41.982094,,,,,,
13.559,56.207401,53.266785,41.64542,41.698669,,,,,,
13.91,55.963757,52.96904,41.370918,41.420437,,,,,,
14.26,55.734875,52.682846,41.112896,41.163326,,,,,,
14.617,55.464455,52.361301,40.831581,40.871639,,,,,,
14.98,55.202042,52.044937,40.547859,40.59259,,,,,,
15.342,54.930019,51.756542,40.284805,40.339748,,,,,,
15.703,54.660999,51.439281,40.036808,40.097988,,,,,,
16.062,54.400684,51.145912,39.804001,39.846802,,,,,,
16.409,54.126068,50.845276,39.573814,39.61375,,,,,,
16.759,53.870678,50.578506,39.352345,39.404728,,,,,,
17.115,53.605141,50.26849,39.130901,39.180202,,,,,,
17.475,53.327892,49.975765,38.920559,38.976101,,,,,,
17.823,53.054974,49.693035,38.720066,38.756516,,,,,,
18.186,52.783901,49.397141,38.532879,38.54911,,,,,,
18.548,52.501862,49.099102,38.315804,38.336491,,,,,,
18.911,52.21434,48.81274,38.115627,38.131428,,,,,,
19.264,51.967751,48.55101,37.923107,37.946705,,,,,,
19.624,51.689762,48.263115,37.722408,37.751137,,,,,,
19.973,51.42189,47.985168,37.535961,37.563145,,,,,,
20.324,51.159199,47.727711,37.359818,37.384777,,,,,,
20.682,50.886845,47.47364,37.178947,37.199459,,,,,,
21.045,50.622555,47.19339,37.002426,37.031868,,,,,,
21.407,50.351116,46.94463,36.835815,36.864151,,,,,,
21.769,50.074646,46.664135,36.654087,36.671497,,,,,,
22.117,49.832268,46.425838,36.523968,36.529102,,,,,,
22.48,49.556732,46.166428,36.354534,36.361904,,,,,,
22.846,49.306282,45.918701,36.209373,36.223671,,,,,,
23.203,49.051243,45.677097,36.067856,36.080814,,,,,,
23.563,48.791973,45.430809,35.91851,35.925213,,,,,,
23.912,48.538982,45.182957,35.780388,35.784412,,,,,,
24.275,48.286411,44.969772,35.642559,35.651951,,,,,,
24.638,48.038151,44.71748,35.495369,35.508568,,,,,,
25.001,47.791901,44.49445,35.366432,35.367771,,,,,,
25.353,47.556343,44.277592,35.239365,35.245407,,,,,,
25.713,47.311752,44.036259,35.106922,35.101772,,,,,,
26.063,47.079288,43.826061,34.979824,34.983181,,,,,,
26.413,46.868294,43.633961,34.864479,34.872768,,,,,,
26.772,46.621841,43.422485,34.744484,34.753895,,,,,,
27.15,46.385143,43.207424,34.627842,34.639946,,,,,,
27.513,46.150543,42.983253,34.512764,34.510075,,,,,,
27.877,45.92511,42.790142,34.397503,34.395485,,,,,,
28.239,45.705631,42.576359,34.27092,34.284153,,,,,,
28.602,45.479481,42.376389,34.176605,34.177055,,,,,,
28.95,45.272163,42.189426,34.070675,34.070225,,,,,,
29.326,45.043652,41.9869,33.968945,33.968498,,,,,,
29.686,44.830448,41.803108,33.871723,33.873516,,,,,,
30.034,44.630249,41.619602,33.785172,33.784721,,,,,,
30.398,44.421715,41.433918,33.685677,33.686127,,,,,,
30.761,44.220184,41.257729,33.60104,33.593178,,,,,,
31.125,44.027966,41.093357,33.515873,33.517895,,,,,,
31.475,43.846127,40.910896,33.433727,33.425865,,,,,,
31.833,43.640038,40.740349,33.343052,33.339458,,,,,,
32.183,43.450542,40.584747,33.277927,33.274555,,,,,,
32.546,43.266144,40.41037,33.196938,33.190418,,,,,,
32.91,43.067982,40.249416,33.114777,33.117474,,,,,,
33.274,42.880116,40.092407,33.043629,33.038681,,,,,,
33.637,42.712318,39.936981,32.983116,32.972099,,,,,,
33.983,42.537601,39.779484,32.902328,32.899628,,,,,,
34.34,42.361195,39.631165,32.846859,32.832687,,,,,,
34.698,42.187656,39.481533,32.786945,32.769398,,,,,,
35.047,42.016552,39.330593,32.701664,32.695366,,,,,,
35.405,41.845528,39.186626,32.630688,32.635414,,,,,,
35.754,41.680603,39.040817,32.565979,32.562378,,,,,,
36.118,41.525875,38.909927,32.502239,32.502689,,,,,,
36.481,41.355129,38.766735,32.437317,32.437542,,,,,,
36.845,41.176685,38.618488,32.382172,32.363483,,,,,,
37.209,41.02713,38.476612,32.308746,32.310772,,,,,,
37.559,40.887459,38.363811,32.273117,32.266811,,,,,,
37.917,40.726257,38.222034,32.223724,32.209759,,,,,,
38.267,40.5868,38.11837,32.177124,32.161358,,,,,,
38.629,40.426605,37.972294,32.101139,32.097309,,,,,,
38.996,40.283009,37.859604,32.070007,32.054237,,,,,,
39.358,40.132744,37.722862,32.006905,31.99609,,,,,,
39.723,39.983601,37.604847,31.956919,31.942045,,,,,,
40.07,39.869602,37.499886,31.923761,31.91655,,,,,,
40.43,39.723938,37.378487,31.860706,31.85214,,,,,,
40.795,39.571709,37.25563,31.809948,31.798903,,,,,,
41.161,39.450054,37.150131,31.779919,31.754219,,,,,,
41.529,39.295826,37.025074,31.718191,31.703085,,,,,,
41.878,39.169373,36.918789,31.674561,31.663288,,,,,,
42.228,39.061127,36.819866,31.639294,31.629374,,,,,,
42.59,38.924374,36.719761,31.606909,31.587965,,,,,,
42.952,38.80101,36.620178,31.564695,31.559507,,,,,,
43.321,38.666527,36.509884,31.518892,31.513704,,,,,,
43.694,38.545071,36.397724,31.47822,31.470098,,,,,,
44.057,38.422554,36.290977,31.448675,31.422056,,,,,,
44.406,38.314789,36.21648,31.41991,31.408857,,,,,,
44.773,38.195801,36.120003,31.382723,31.371668,,,,,,
45.137,38.073891,36.014336,31.340563,31.328154,,,,,,
45.501,37.964268,35.92527,31.311792,31.298252,,,,,,
45.849,37.852718,35.826672,31.288763,31.266197,,,,,,
46.2,37.742874,35.744328,31.241306,31.232054,,,,,,
46.562,37.660908,35.656212,31.217379,31.200226,,,,,,
46.933,37.528667,35.574886,31.178869,31.167585,,,,,,
47.3,37.426117,35.472149,31.148119,31.133898,,,,,,
47.659,37.3074,35.391228,31.122007,31.109367,,,,,,
48.02,37.212894,35.321419,31.086128,31.080484,,,,,,
48.367,37.114277,35.234737,31.066195,31.051069,,,,,,
48.719,37.02113,35.165634,31.047976,31.029011,,,,,,
49.085,36.916656,35.07196,31.015152,30.995508,,,,,,
49.457,36.824326,34.988243,30.981541,30.960089,,,,,,
49.804,36.729706,34.914547,30.960754,30.948336,,,,,,
50.175,36.623566,34.836468,30.94211,30.921787,,,,,,
50.538,36.542778,34.765915,30.905996,30.897415,,,,,,
50.903,36.442032,34.693264,30.882004,30.86371,,,,,,
51.253,36.355907,34.620502,30.86401,30.848425,,,,,,
51.615,36.262211,34.547771,30.837242,30.818495,,,,,,
51.963,36.190613,34.483318,30.81883,30.810247,,,,,,
52.329,36.102295,34.414875,30.796177,30.781946,,,,,,
52.697,36.017918,34.354198,30.796721,30.764193,,,,,,
53.065,35.920906,34.288258,30.760792,30.737297,,,,,,
53.435,35.832504,34.207188,30.731094,30.718216,,,,,,
53.781,35.765888,34.147305,30.720488,30.710773,,,,,,
54.142,35.690342,34.089684,30.703129,30.689573,,,,,,
54.506,35.608009,34.024811,30.685476,30.656555,,,,,,
54.874,35.518917,33.960564,30.656263,30.637733,,,,,,
55.242,35.449959,33.90081,30.647621,30.630449,,,,,,
55.607,35.378403,33.84901,30.631401,30.610161,,,,,,
55.956,35.302189,33.775475,30.604836,30.586306,,,,,,
56.308,35.229816,33.723759,30.57877,30.581707,,,,,,
56.673,35.169983,33.664188,30.575312,30.552938,,,,,,
57.045,35.08416,33.616508,30.552187,30.534334,,,,,,
57.411,35.017673,33.562626,30.545425,30.526217,,,,,,
57.779,34.943104,33.498165,30.515148,30.503847,,,,,,
58.127,34.881134,33.436913,30.50392,30.499174,,,,,,
58.495,34.817253,33.39666,30.494165,30.480602,,,,,,
58.848,34.750164,33.33971,30.47756,30.463547,,,,,,
