Time,Steel Center,Steel Surface,Copper Surface,Copper Center,P 5,P 6,P 7,P 8,P 9,P 10
15.756,34.697571,37.821415,48.047272,47.94558,,,,,,
16.106,34.959385,38.117626,48.256851,48.152367,,,,,,
16.469,35.238636,38.426674,48.476707,48.380119,,,,,,
16.832,35.482822,38.709522,48.679466,48.574413,,,,,,
17.194,35.754414,39.016891,48.897419,48.808315,,,,,,
17.557,36.022594,39.30418,49.103168,49.016716,,,,,,
17.911,36.294941,39.599136,49.320229,49.22728,,,,,,
18.27,36.55777,39.886391,49.516968,49.447121,,,,,,
18.619,36.828484,40.163273,49.719063,49.63728,,,,,,
18.978,37.089649,40.436867,49.91713,49.842335,,,,,,
19.341,37.357151,40.72073,50.09753,50.031673,,,,,,
19.705,37.62085,40.993275,50.298412,50.214546,,,,,,
20.054,37.884068,41.26511,50.470436,50.391811,,,,,,
20.415,38.140064,41.517609,50.647869,50.576653,,,,,,
20.777,38.414124,41.802414,50.828892,50.75705,,,,,,
21.141,38.688087,42.072758,51.012501,50.933308,,,,,,
21.493,38.929329,42.301121,51.165775,51.093113,,,,,,
21.85,39.19574,42.569492,51.318974,51.248501,,,,,,
22.198,39.449783,42.810589,51.48468,51.409679,,,,,,
22.562,39.701782,43.061348,51.630264,51.566986,,,,,,
22.925,39.961674,43.311577,51.791439,51.726227,,,,,,
23.288,40.219765,43.553429,51.940979,51.87492,,,,,,
23.65,40.465584,43.792118,52.078171,52.020142,,,,,,
24.001,40.704269,44.017139,52.221241,52.142883,,,,,,
24.36,40.942654,44.239014,52.336395,52.275799,,,,,,
24.708,41.177227,44.457775,52.469322,52.405495,,,,,,
25.055,41.414799,44.684586,52.588387,52.536041,,,,,,
25.417,41.645672,44.886082,52.712223,52.656429,,,,,,
25.779,41.901279,45.117237,52.854507,52.792458,,,,,,
26.127,42.126839,45.32645,52.973728,52.911911,,,,,,
26.494,42.363029,45.543831,53.114456,53.045952,,,,,,
26.86,42.595879,45.753746,53.245499,53.178524,,,,,,
27.223,42.816837,45.954708,53.369499,53.298004,,,,,,
27.573,43.030701,46.145134,53.473873,53.411247,,,,,,
27.935,43.261681,46.35347,53.594444,53.542629,,,,,,
28.283,43.475739,46.540188,53.701954,53.638279,,,,,,
28.651,43.694622,46.743538,53.805199,53.748226,,,,,,
29.018,43.895367,46.929966,53.903675,53.843906,,,,,,
29.383,44.105988,47.111572,54.016422,53.947392,,,,,,
29.751,44.324581,47.296982,54.138569,54.058556,,,,,,
30.098,44.523304,47.469643,54.252487,54.168175,,,,,,
30.458,44.717041,47.650696,54.354885,54.277275,,,,,,
30.824,44.923885,47.839546,54.466324,54.390236,,,,,,
31.21,45.130562,48.016243,54.578514,54.503307,,,,,,
31.573,45.343372,48.190994,54.679558,54.601562,,,,,,
31.937,45.527718,48.354256,54.771439,54.697983,,,,,,
32.286,45.708324,48.514248,54.842476,54.77829,,,,,,
32.637,45.8951,48.683441,54.941154,54.875259,,,,,,
32.998,46.072647,48.828655,55.015102,54.950722,,,,,,
33.365,46.262573,48.983807,55.0933,55.02441,,,,,,
33.733,46.445053,49.15683,55.181236,55.119892,,,,,,
34.114,46.649403,49.308521,55.268787,55.216274,,,,,,
34.481,46.808399,49.452335,55.346424,55.288971,,,,,,
34.845,46.989403,49.617184,55.431553,55.378628,,,,,,
35.197,47.146988,49.750912,55.501858,55.44894,,,,,,
35.559,47.316444,49.911686,55.580875,55.538506,,,,,,
35.925,47.501595,50.059177,55.670872,55.623344,,,,,,
36.273,47.648811,50.177853,55.736897,55.683788,,,,,,
36.642,47.812157,50.309334,55.824211,55.760578,,,,,,
37.006,47.964249,50.448528,55.898548,55.843952,,,,,,
