Time,Room Temperature,Forced Fanned,Natural Insulated,Natural Uninsulated,P 5,P 6,P 7,P 8,P 9,P 10
36.649,22.879026,33.804287,35.145966,36.153408,,,,,,
36.996,22.877645,33.792381,35.148884,36.153648,,,,,,
37.341,22.880568,33.789204,35.148918,36.157608,,,,,,
37.687,22.888681,33.784916,35.142677,36.158501,,,,,,
38.033,22.879072,33.781826,35.144405,36.165752,,,,,,
38.378,22.8857,33.780174,35.149895,36.162502,,,,,,
38.724,22.88583,33.772804,35.144135,36.161564,,,,,,
39.07,22.887814,33.764587,35.143066,36.157822,,,,,,
39.416,22.891806,33.766041,35.137024,36.150002,,,,,,
39.776,22.890085,33.741119,35.137821,36.153648,,,,,,
40.122,22.899628,33.760399,35.138523,36.148468,,,,,,
40.466,22.889147,33.73769,35.119766,36.149868,,,,,,
40.812,22.885916,33.741631,35.116386,36.147564,,,,,,
41.158,22.888166,33.726891,35.12022,36.149075,,,,,,
41.504,22.886383,33.739414,35.118454,36.145172,,,,,,
41.85,22.885719,33.719288,35.112267,36.145943,,,,,,
42.196,22.888474,33.705761,35.105717,36.132801,,,,,,
42.541,22.885147,33.703003,35.098858,36.130226,,,,,,
42.887,22.887213,33.696297,35.102325,36.123352,,,,,,
43.233,22.882345,33.685043,35.099651,36.123352,,,,,,
43.578,22.887991,33.677063,35.091145,36.118595,,,,,,
43.924,22.89414,33.679401,35.087593,36.119152,,,,,,
44.27,22.889694,33.673035,35.08712,36.115112,,,,,,
44.616,22.884529,33.66452,35.078796,36.110538,,,,,,
44.961,22.886923,33.658855,35.089016,36.114155,,,,,,
45.307,22.874876,33.649776,35.072632,36.101887,,,,,,
45.653,22.8857,33.654964,35.081024,36.102962,,,,,,
46.02,22.876991,33.638653,35.07098,36.103085,,,,,,
46.367,22.885155,33.65353,35.063534,36.090298,,,,,,
46.716,22.872131,33.631695,35.05011,36.09079,,,,,,
47.062,22.882208,33.630604,35.052055,36.086853,,,,,,
47.409,22.879929,33.621914,35.043018,36.082634,,,,,,
47.755,22.88147,33.62505,35.043118,36.081127,,,,,,
48.103,22.884417,33.624218,35.037289,36.077446,,,,,,
48.449,22.885269,33.615417,35.038849,36.074902,,,,,,
48.807,22.880484,33.600849,35.036076,36.065712,,,,,,
49.157,22.877344,33.607208,35.023155,36.071522,,,,,,
49.503,22.885489,33.61224,35.028717,36.069237,,,,,,
49.85,22.883812,33.602898,35.022419,36.066509,,,,,,
50.198,22.88117,33.58456,35.017483,36.061401,,,,,,
50.544,22.88109,33.586266,35.021149,36.062389,,,,,,
50.89,22.888041,33.589401,35.012863,36.052505,,,,,,
51.236,22.879978,33.572659,35.005062,36.046494,,,,,,
51.582,22.884026,33.569168,35.005856,36.05228,,,,,,
51.928,22.881086,33.559109,34.997414,36.043488,,,,,,
52.274,22.879053,33.546196,34.987553,36.050926,,,,,,
52.62,22.872639,33.557705,34.983704,36.039234,,,,,,
52.965,22.867474,33.544369,34.984478,36.043575,,,,,,
53.311,22.870602,33.54961,34.993641,36.0415,,,,,,
53.657,22.869154,33.529419,34.985962,36.03989,,,,,,
54.003,22.863359,33.523319,34.982368,36.035942,,,,,,
54.348,22.864698,33.52018,34.983692,36.041546,,,,,,
54.693,22.859413,33.518696,34.977928,36.037567,,,,,,
55.038,22.861546,33.510269,34.967724,36.034149,,,,,,
55.382,22.867689,33.490093,34.96524,36.031666,,,,,,
55.726,22.870928,33.498127,34.973263,36.029697,,,,,,
56.071,22.877039,33.492928,34.963253,36.03093,,,,,,
56.416,22.885183,33.492783,34.962929,36.032387,,,,,,
56.76,22.872957,33.47316,34.96439,36.023682,,,,,,
57.105,22.869799,33.466995,34.958229,36.024483,,,,,,
57.45,22.881063,33.479053,34.970272,36.034019,,,,,,
57.794,22.868582,33.462036,34.959167,36.022743,,,,,,
58.139,22.862192,33.453918,34.953197,36.014996,,,,,,
58.484,22.841459,33.434799,34.944275,36.014641,,,,,,
58.828,22.851276,33.440777,34.943821,36.009552,,,,,,
59.173,22.862206,33.436779,34.941433,36.014656,,,,,,
59.522,22.862448,33.434521,34.937927,36.00687,,,,,,
59.867,22.871731,33.434784,34.929447,36.008743,,,,,,
60.211,22.877939,33.421822,34.932564,36.013454,,,,,,
60.555,22.883268,33.419064,34.926773,36.013912,,,,,,
60.9,22.883493,33.424465,34.933239,36.007359,,,,,,
61.244,22.887442,33.409264,34.928406,36.008053,,,,,,
61.589,22.893919,33.424973,34.931602,36.013214,,,,,,
61.934,22.886988,33.427395,34.92046,36.002613,,,,,,
62.278,22.886784,33.400394,34.921509,36.010971,,,,,,
62.623,22.887199,33.405807,34.913357,35.997833,,,,,,
62.968,22.885555,33.393635,34.905479,35.987469,,,,,,
63.312,22.880688,33.397923,34.910656,35.989784,,,,,,
63.657,22.886766,33.398411,34.914173,36.005249,,,,,,
64.001,22.883436,33.396896,34.909809,35.994823,,,,,,
64.345,22.886158,33.389587,34.916069,35.990383,,,,,,
64.69,22.884462,33.393089,34.914928,35.989418,,,,,,
65.034,22.883438,33.373669,34.897854,35.986443,,,,,,
65.38,22.895452,33.370571,34.904751,35.988701,,,,,,
65.724,22.904449,33.374664,34.909374,35.989929,,,,,,
66.069,22.901434,33.359348,34.898716,35.98035,,,,,,
66.414,22.901857,33.357265,34.888428,35.979702,,,,,,
66.758,22.899614,33.349682,34.893166,35.979977,,,,,,
67.102,22.903177,33.357857,34.895084,35.978687,,,,,,
67.447,22.908224,33.359108,34.890804,35.981541,,,,,,
67.792,22.88763,33.342983,34.882908,35.973297,,,,,,
68.136,22.885479,33.334419,34.878281,35.969921,,,,,,
68.481,22.894749,33.332706,34.875679,35.979801,,,,,,
68.825,22.898367,33.33165,34.872478,35.969296,,,,,,
69.17,22.894512,33.323898,34.877052,35.967445,,,,,,
69.515,22.898705,33.326622,34.87067,35.963032,,,,,,
69.859,22.890797,33.314674,34.868198,35.959133,,,,,,
70.204,22.898773,33.312218,34.865032,35.967201,,,,,,
70.549,22.904833,33.305897,34.863892,35.960178,,,,,,
70.899,22.88954,33.295025,34.862671,35.956287,,,,,,
71.244,22.897486,33.292358,34.859295,35.960045,,,,,,
71.588,22.897373,33.282242,34.857399,35.952801,,,,,,
71.933,22.899687,33.29311,34.854336,35.95277,,,,,,
72.278,22.894178,33.267818,34.844955,35.951603,,,,,,
72.631,22.905344,33.286388,34.849049,35.951054,,,,,,
72.975,22.899494,33.272552,34.849682,35.950085,,,,,,
73.32,22.897549,33.277412,34.844189,35.950657,,,,,,
73.678,22.897978,33.278728,34.847469,35.952507,,,,,,
74.023,22.892166,33.265106,34.840824,35.953533,,,,,,
74.369,22.889654,33.256008,34.834053,35.935894,,,,,,
74.714,22.893906,33.243244,34.830944,35.937069,,,,,,
75.058,22.893032,33.243988,34.824905,35.927647,,,,,,
75.403,22.899633,33.248207,34.832512,35.938099,,,,,,
75.748,22.89929,33.241436,34.832352,35.929199,,,,,,
76.096,22.904291,33.246033,34.835514,35.938423,,,,,,
76.446,22.895208,33.236496,34.821705,35.926231,,,,,,
76.791,22.899504,33.228424,34.817036,35.93066,,,,,,
77.136,22.90963,33.21809,34.823311,35.927837,,,,,,
77.48,22.903509,33.239006,34.827423,35.924278,,,,,,
77.825,22.903454,33.213039,34.811485,35.922085,,,,,,
78.171,22.912075,33.226948,34.813774,35.929008,,,,,,
78.515,22.904039,33.212547,34.802608,35.917492,,,,,,
78.86,22.907152,33.210812,34.803726,35.917362,,,,,,
79.205,22.902765,33.20396,34.802597,35.917839,,,,,,
79.549,22.905109,33.200386,34.800278,35.90839,,,,,,
79.893,22.901672,33.205734,34.798836,35.913189,,,,,,
80.238,22.904215,33.193783,34.796181,35.908752,,,,,,
80.583,22.899858,33.179096,34.797043,35.902126,,,,,,
80.931,22.902071,33.179504,34.794594,35.905918,,,,,,
81.278,22.902128,33.182419,34.793579,35.906155,,,,,,
81.624,22.894676,33.16431,34.782452,35.902706,,,,,,
81.969,22.899145,33.172672,34.788128,35.898212,,,,,,
82.313,22.887838,33.154137,34.78318,35.897724,,,,,,
82.657,22.899178,33.163948,34.77977,35.893963,,,,,,
83.003,22.896448,33.160709,34.777248,35.895721,,,,,,
83.348,22.884987,33.146664,34.767326,35.892944,,,,,,
83.692,22.889128,33.152912,34.756077,35.881527,,,,,,
84.037,22.883875,33.140736,34.756588,35.886673,,,,,,
84.381,22.885231,33.141724,34.761681,35.881416,,,,,,
84.726,22.880196,33.125118,34.757408,35.871799,,,,,,
85.07,22.888004,33.127319,34.764603,35.876492,,,,,,
85.415,22.883629,33.130665,34.754025,35.875374,,,,,,
85.759,22.879351,33.11874,34.751755,35.870609,,,,,,
86.117,22.879879,33.117657,34.757095,35.86097,,,,,,
86.469,22.882236,33.113201,34.74765,35.865082,,,,,,
86.813,22.886078,33.113792,34.748062,35.871914,,,,,,
87.157,22.879118,33.09724,34.749561,35.864849,,,,,,
87.502,22.89357,33.098701,34.742096,35.875401,,,,,,
87.847,22.886309,33.084713,34.742222,35.865723,,,,,,
88.192,22.880547,33.084541,34.738663,35.849503,,,,,,
88.536,22.891891,33.089355,34.741325,35.868214,,,,,,
88.881,22.886454,33.086464,34.735764,35.854988,,,,,,
89.225,22.883022,33.072342,34.735043,35.859085,,,,,,
89.57,22.885181,33.080734,34.733788,35.855515,,,,,,
